ID,Mother,Father,Maternal_line,Paternal_line,Cross_CT_HT,Cross_WS,Replicate,Transect,Altitude_origin,Site_number,Trait,Batch_CT,Batch_HT,Offspring_CT,Taken_CT,TimeHT_SECS,TimeHT_MINS,Centroid_Size,Log_Centroid_Size,Transplant_site,Cage,Emergence,Rel_fitness_emergence,Survivors,Rel_fitness_survivors
648,58,293,PA23,PA23,15,NA,C,Paluma,Low,15,Heat_tolerance,NA,5,NA,NA,815,13.58333333,NA,NA,NA,NA,NA,NA,NA,NA
649,58,293,PA23,PA23,15,NA,C,Paluma,Low,15,Heat_tolerance,NA,9,NA,NA,1348,22.46666667,NA,NA,NA,NA,NA,NA,NA,NA
650,59,294,PA26,PA23,16,NA,A,Paluma,Low,15,Cold_tolerance,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
651,59,294,PA26,PA23,16,NA,A,Paluma,Low,15,Cold_tolerance,2,NA,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,59,294,PA26,PA23,16,NA,A,Paluma,Low,15,Cold_tolerance,1,NA,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
653,59,294,PA26,PA23,16,NA,A,Paluma,Low,15,Cold_tolerance,2,NA,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
654,59,294,PA26,PA23,16,NA,A,Paluma,Low,15,Heat_tolerance,NA,9,NA,NA,358,5.966666667,NA,NA,NA,NA,NA,NA,NA,NA
655,59,294,PA26,PA23,16,NA,A,Paluma,Low,15,Heat_tolerance,NA,1,NA,NA,1007,16.78333333,NA,NA,NA,NA,NA,NA,NA,NA
656,60,295,PA26,PA23,16,NA,B,Paluma,Low,15,Heat_tolerance,NA,9,NA,NA,333,5.55,NA,NA,NA,NA,NA,NA,NA,NA
657,61,296,PA3,PA23,13,NA,A,Paluma,Low,15,Cold_tolerance,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658,61,296,PA3,PA23,13,NA,A,Paluma,Low,15,Cold_tolerance,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
